gene	BB9	BB10	BB17	BB19	BB20	BB21	BB11	BB12	BB18	reflen
yfiH.t01	289.8	255.86	355.937	410.233	384.46	277.728	217.692	205.336	189.497	732
yfiL.t01	171.697	161.573	213.097	839.9	785.623	594.633	333.468	205.607	256.879	366
yfiM.t01	140.724	128.261	223.699	402.032	421.462	355.71	346.92	215.911	334.089	324
yfiN.t01	721.509	736.638	1141.49	621.495	671.844	495.582	570.854	365.663	352.003	1227
yfiP.t01	1253.55	1443.67	2200.93	840.813	674.675	777.512	628.563	455.379	482.319	699
yfiR.t01	462.802	435.566	653.084	473.693	423.048	325.727	387.89	280.981	294.162	519
yfjD.t01	1885.88	2022.43	2163.94	1581.88	1488.67	1344.97	1397.24	922.081	884.25	1287
yfjH.t01	518.788	536.948	710.642	493.308	605.939	404.529	741.851	484.487	476.856	957
yfjI.t01	810.93	789.923	878.375	642.571	557.126	613.02	848.686	914.527	583.634	1410
yfjJ.t01	249.166	205.722	341.233	116.912	133.046	220.322	211.982	318.015	136.789	627
yfjK.t01	1266.24	1049.68	1597.61	1433.67	1535.47	1178.92	1242.76	1222.61	845.555	2190
yfjL.t01	1524.45	1306.1	1848.02	2177.52	2049.11	1689.47	1329.45	981.647	1132.83	1617
yfjM.t01	110.428	93.3504	144.345	93.4666	98.0966	55.2734	108.217	127.41	67.58	264
yfjP.t01	344.681	261.424	393.452	312.565	291.821	257.248	269.3	448.335	329.144	864
yfjQ.t01	333.563	265.158	379.064	285.366	281.321	277.575	389.677	454.201	268.33	822
yfjR.t01	359.925	256.582	259.133	230.075	240.288	215.36	214.722	350.874	266.25	702
yfjS.t01	191.397	192.456	228.953	157.054	176.614	190.781	179.292	232.577	125.476	444
yfjT.t01	203.782	218.418	263.056	158.553	150.291	148.367	154.026	229.978	134.946	468
yfjW.t01	829.381	841.952	1009.79	958.699	1223.38	810.746	1151.66	911.018	632.607	1704
yfjX.t01	200.131	170.564	184.088	139.276	171.088	148.69	181.241	236.655	143.228	459
yfjY.t01	221.804	187.103	213.189	197.477	180.594	134.63	165.379	278.745	159.35	483
yfjZ.t01	142.928	103.469	130.701	88.7121	101.057	101.652	149.064	209.752	82.3442	318
ygaC.t01	193.976	176.66	171.531	240.082	231.62	231.535	168.195	269.631	128.725	345
ygaH.t01	1071.38	938.038	1044.64	823.039	859.844	556.628	510.821	348.832	717.693	336
ygaM.t01	497.363	549.424	509.903	17081.8	18349.3	17377	5353.36	1831.49	3560.57	330
ygaP.t01	454.106	320.431	328.529	411.846	362.883	338.136	420.554	412.132	279.741	525
ygaU.t01	299.268	246.529	332.127	1947.72	1821.75	1769.21	959.836	471.002	654.934	450
ygaV.t01	207.686	179.659	256.112	199.682	161.697	123.621	193.316	188.965	164.441	300
ygaZ.t01	1635.33	1603.26	1531.79	1193.83	1147.01	952.404	962.389	724.796	984.108	738
ygbA.t01	178.836	233.239	221.766	161.127	231.025	161.981	219.761	409.996	195.523	354
ygbE.t01	390.106	292.942	424.187	360.003	345.488	341.415	370.008	448.653	342.983	324
ygbF.t01	238.051	196.358	161.984	117.542	170.991	204.954	189.597	328.833	228.411	285
